Type,Original Comment ID,Matrix Room ID,Matrix Event ID,Status
comment,305f75dc-ecad-48c8-8590-2d90fba189f0,!hbXSUphhxpMWIyTBnK:chat.localhost:8000,$JkrJTkz5N93rjL7x7VrwmJ9KO-bi6TGymktuUfwhvYo,success
comment,7c940325-e32c-4fe4-bb31-eebddcf76da7,!hbXSUphhxpMWIyTBnK:chat.localhost:8000,$uSijn04LhP9DH7wBAI0OECCM8_K0bA5tQi1VmxorWN0,success
comment,282f7e34-0686-41c9-bfa1-336d8c04bc4b,!hbXSUphhxpMWIyTBnK:chat.localhost:8000,$5DkJJF8V5ERUxoGY9_NGNy_2IJEt0fVz7cGeX8N-wmM,success
comment,62e8c667-1071-49e4-8b4f-cf9fbd496f80,!hbXSUphhxpMWIyTBnK:chat.localhost:8000,$CSgniaoci88gCL5no3XQzIN3rG4jpZoflo5sFcf1TEs,success
comment,25a1266a-2764-41fb-9b9d-9b1245ae92e3,!hbXSUphhxpMWIyTBnK:chat.localhost:8000,$Sv-pXEwd6cA3rlJQ6_Vkims8yLluQA7S6-Dg4zBx0mo,success
comment,5d023c83-e6bb-4ba7-bb9a-447d54507039,!hbXSUphhxpMWIyTBnK:chat.localhost:8000,$kVP9pwhU07Wqw1p59HZbQYyFivnj1q0ySd_t6s2zgX4,success
comment,b84576b4-4903-4825-86a6-e0de687e19b8,!hbXSUphhxpMWIyTBnK:chat.localhost:8000,$w3O1XMDf0iu_mK4JWatUeMZRrfb5pNXxmlOggPE_Tr0,success
reaction,2039abb2-1c00-445b-9f1c-b19ea68599a5,!hbXSUphhxpMWIyTBnK:chat.localhost:8000,unknown,success
reaction,a02e3a01-dcd1-4409-bd20-abe92f661027,!hbXSUphhxpMWIyTBnK:chat.localhost:8000,unknown,success
reaction,18ef7c1f-3f69-4598-9860-118919a3fbc8,!hbXSUphhxpMWIyTBnK:chat.localhost:8000,unknown,success
reaction,4d446f38-e933-46ec-a735-ba05e68b1969,!hbXSUphhxpMWIyTBnK:chat.localhost:8000,unknown,success
reaction,6ac60565-1a45-4419-bb81-49d74f2e1345,!hbXSUphhxpMWIyTBnK:chat.localhost:8000,unknown,success
comment,c7d3c990-7a4f-4ce7-9acf-4b4a887e723c,!LCbTvFYwWtdGuVZvwL:chat.localhost:8000,$ux0Z6MFyjFd3icv5r1glLFZVYLgYY3sAlqmKbLuN5zI,success
comment,77634a78-83b0-46fd-b421-b33bccf3fd61,!LCbTvFYwWtdGuVZvwL:chat.localhost:8000,$h-Wk29tBulPDJu92ID-KPENszVMvD39pVbMmsn8V82w,success
reaction,ef0613e0-de61-42dd-b511-26409919e8bc,!LCbTvFYwWtdGuVZvwL:chat.localhost:8000,unknown,success
comment,37122739-c392-42ea-9549-699086bec301,!LCbTvFYwWtdGuVZvwL:chat.localhost:8000,$60HORuuh-8T2isJ6UKe-lzFp1OJkj6ppHOWJEymbz8E,success
comment,f3794ab4-0b9e-4f0b-98d1-817b5c3672fd,!LCbTvFYwWtdGuVZvwL:chat.localhost:8000,$7jUqiKkVpTlXcBBwVQZw26SPA4oKBB05DuA4Zk0AizI,success
comment,916c8d04-e728-42e3-ace9-2d55843b2822,!LCbTvFYwWtdGuVZvwL:chat.localhost:8000,$c4Y5ly9gbWXkyTFb37XmLIkdoTJbU47j1OKMNsuqckA,success
comment,9c2bf394-ae19-46a0-94f0-5d431692b139,!LCbTvFYwWtdGuVZvwL:chat.localhost:8000,$K7NTIevzAZ-2q_HuMfIV8ROyt2E_V-9EuBPSW-YO-0U,success
comment,bfee0a6e-0ac4-4d0b-918a-299ad23cd593,!LCbTvFYwWtdGuVZvwL:chat.localhost:8000,$KBZCF_sWM3lTrbBKTEd3iVjBrsVWBbv8-zgLnMbaeUA,success
comment,cfeba00b-49ec-451b-b4de-c78745effe87,!LCbTvFYwWtdGuVZvwL:chat.localhost:8000,$p6DIhyiA9Szh4mqMLmq8-6ioiN53aSITLsJGAB1MbWw,success
comment,0ea35b3a-ac13-4a5b-8c1b-671e371c20c7,!LCbTvFYwWtdGuVZvwL:chat.localhost:8000,$FSUdWsI9_B3IF2SflD5mn3-AZ0CILnQIcs3tSvYnrvQ,success
comment,2e723bd6-4b36-4c53-9c6f-ec994826b06e,!LCbTvFYwWtdGuVZvwL:chat.localhost:8000,$zv2l-2MqzWtKb1GKqA8b61_VOmmUjEGJfxvggt3rIVA,success
comment,8a0893b3-3762-478c-968a-f0a5f706a322,!LCbTvFYwWtdGuVZvwL:chat.localhost:8000,$D3fe6IrMWMOu0IuL1iXENF4Eu7pJxrIEaTVqnC8IlDg,success
reaction,8ffa0181-3f2a-484d-8980-1e0e8533a6ab,!LCbTvFYwWtdGuVZvwL:chat.localhost:8000,unknown,success
